contract_no,supplier,description,begin_date,end_date,max_amount
0000000000000000000003566,AXON ENTERPRISE INC,Axon Taser Blanket,9/1/2024,8/31/2029,"$31,000,000.00"
0000000000000000000003521,BALFOUR BEATTY CONSTRUCTION GROUP INC,Security fence project,6/17/2024,8/31/2026,"$14,785,583.78"
0000000000000000000003477,BANSAR TECHNOLOGIES INC,Data Analyst/Report Writer 2,9/25/2023,8/31/2026,"$533,886.40"
0000000000000000000005043,Barrier Fence LLC,San Antonio HQ Fence,8/5/2025,8/31/2026,"$178,763.76"
0000000000000000000005427,Barrier Fence LLC,ODESSA HICKS 409-924-5467 ODES,1/12/2026,8/31/2026,"$280,453.00"
0000000000000000000001166,BASIN AVIATION INC,Midland Hangar Lease,9/8/2020,8/31/2028,"$211,200.00"
0000000000000000000004006,BAYTOWN MEDICAL WASTE LLC,Incineration Services,7/22/2024,8/31/2029,"$600,000.00"
0000000000000000000000279,BELL COUNTY,DPS Building Lease - Bell Co.,2/12/2019,9/30/2029,"$5,382,076.76"
0000000000000000000005080,BELL TEXTRON INC,FY26 SOLICIT - NEW BELL 407,8/14/2025,8/31/2027,"$4,966,611.00"
0000000000000000000002869,"BERRY AVIATION, INC.",Aviation Maintenance Services,3/31/2023,8/31/2028,"$13,300,000.00"
0000000000000000000004880,"BESTICA, INC.",Doug Herrington $85.00/hr,6/25/2025,8/31/2026,"$211,565.00"
0000000000000000000004635,"BESTICA, INC.",Farhana Mannan 85.00/hr,4/30/2025,8/31/2026,"$252,365.00"
0000000000000000000004727,BLACKHAWK AEROSPACE TECHNOLOGIES LLC,Blackhawk Technologies - 14492,5/22/2025,8/31/2027,"$162,494.68"
0000000000000000000005460,BLACKHAWK AEROSPACE TECHNOLOGIES LLC,BlackHawk Aerospace -Gear,2/5/2026,8/31/2026,"$325,375.00"
0000000000000000000004879,"BLUE 360 MEDIA, LLC",Law Book Blanket Contract,9/1/2025,8/31/2030,"$250,000.00"
0000000000000000000003118,BONTERRA TECH LLC,Apricot Core VESS Software,9/1/2023,2/28/2029,"$348,608.52"
405-14-40458,BRIGHT FAMILY PROPERTY LLC,TFC Lease Corpus Christi 20374,4/1/2014,10/31/2034,"$8,728,835.12"
405-14-40468,BRIGHT FAMILY PROPERTY LLC,Lake Worth Bldg TFCLease 20372,4/1/2014,6/30/2034,"$8,781,522.00"
0000000000000000000004495,"BROADAXIS, INC.",Dain Petersen ITSAC,3/21/2025,8/31/2026,"$264,186.45"
0000000000000000000002192,BROOKS COUNTY INDEPENDENT SCHOOL DISTRIC,Falfurrias THP Office Space,4/29/2022,12/13/2026,"$556,300.00"
0000000000000000000004471,C F MCDONALD ELECTRIC INC,Houston Crime Lab Generator,3/12/2025,8/31/2026,"$1,523,469.00"
0000000000000000000003889,C&M VILLARREAL FAMILY LIMITED,TFC Lease 20762 Boerne,5/14/2024,7/31/2029,"$206,818.82"
0000000000000000000003816,C&M VILLARREAL FAMILY LIMITED,GREENVILLE LEASE - 20733,1/1/2024,6/30/2034,"$2,196,000.00"
0000000000000000000000912,C&M VILLARREAL FAMILY LIMITED,TFC Lease 303-0-20652 Beaumont,10/22/2020,10/31/2030,"$2,981,413.60"
0000000000000000000004688,C&M VILLARREAL FAMILY LIMITED,Office Lease Garland DL Center,6/1/2025,8/31/2034,"$17,555,554.80"
0000000000000000000001823,C.B.K. COMPUTING LLC,ITSAC -Systems Analyst Level 3,8/2/2021,8/31/2026,"$1,239,354.60"
0000000000000000000000034,CALDWELL COUNTY,DPS Bldg Lease- Caldwell Co,12/6/2018,12/6/2033,"$122,230.00"
0000000000000000000003598,CALPINE CORP,Deregulated Energy Contract,1/1/2024,12/31/2028,"$12,500,000.00"
0000000000000000000003551,CAM AVIONICS LLC,Minor Aviation Maintenance,11/14/2023,11/14/2028,"$5,000,000.00"
0000000000000000000005585,CAMERON COUNTRY CJDR,Dodge Durango GT AWD x 41,3/25/2026,8/31/2026,"$1,883,184.53"
0000000000000000000004628,CAPRICE ELECTRONICS INC,GSA Battery Blanket Contract,5/20/2025,5/19/2030,"$7,000,000.00"
0000000000000000000005414,CARAHSOFT TECHNOLGY CORPORATION,Snowflake-Snow-DCS-Tier 6,1/13/2026,1/12/2027,"$180,000.00"
0000000000000000000002392,CARAHSOFT TECHNOLGY CORPORATION,SMS Magnet AXIOM Software,6/21/2022,5/31/2026,"$198,900.00"
4/09/2026,0000000000000000000004844 CARAHSOFT TECHNOLGY CORPORATION,TransUnion TLOxp,6/16/2025,7/31/2028,"$277,200.00"
0000000000000000000005118,CARAHSOFT TECHNOLGY CORPORATION,Snowflake Cloud Data Warehouse,8/26/2025,8/31/2026,"$500,000.00"
0000000000000000000004386,CARAHSOFT TECHNOLGY CORPORATION,Udemy Business Enterprise,2/1/2025,1/31/2027,"$515,926.80"
0000000000000000000005074,CARAHSOFT TECHNOLGY CORPORATION,CID/CL/TR CELLEBRITE RENEWAL,8/13/2025,8/31/2026,"$552,271.50"
0000000000000000000003378,CARAHSOFT TECHNOLGY CORPORATION,Google Maps API,9/1/2023,8/31/2026,"$784,000.00"
0000000000000000000003774,CARAHSOFT TECHNOLGY CORPORATION,DocuSign Licenses,4/1/2024,3/31/2027,"$959,356.44"
0000000000000000000003965,CARAHSOFT TECHNOLGY CORPORATION,Cellebrite Licenses,9/1/2024,8/31/2027,"$2,753,652.33"
0000000000000000000004238,CARAHSOFT TECHNOLGY CORPORATION,FirstAlert Software Licensing,12/12/2024,10/31/2029,"$6,305,250.00"
0000000000000000000004860,CARAHSOFT TECHNOLGY CORPORATION,Salesforce Blanket,8/22/2025,8/21/2030,"$9,500,000.00"
0000000000000000000005121,CARAHSOFT TECHNOLGY CORPORATION,Remote Issuance (RI),10/8/2025,10/7/2030,"$62,401,200.00"
0000000000000000000002686,CASS COUNTY,Linden/Cass Co Lease - DL,1/27/2023,1/26/2033,"$144,000.00"
0000000000000000000002937,"CBM ARCHIVES CO., LLC",FY24 Data Broker M&S,1/1/2024,12/31/2028,"$3,410,024.00"
0000000000000000000003441,"CBM ARCHIVES CO., LLC",FY24 TX Gang M&S,11/1/2023,12/31/2028,"$5,849,200.00"
0000000000000000000002264,"CBM ARCHIVES CO., LLC",DMS Cushion Contract,3/1/2022,8/31/2026,"$10,007,993.22"
0000000000000000000001752,CECIL C CARLISLE JR,TFC Lease - Alice 20708,4/1/2021,3/31/2031,"$629,048.52"
0000000000000000000004921,CEDA-TEX SERVICES INC,Building A Restroom Remodel,7/15/2025,6/30/2026,"$522,555.00"
0000000000000000000005171,CEDA-TEX SERVICES INC,Addtl WILCO TTC Construction,8/29/2025,8/31/2026,"$993,111.00"
0000000000000000000004246,CHANNEL THREE PRODUCTIONS,DLD Videography Services,11/1/2024,10/31/2029,"$850,000.00"
0000000000000000000003369,CHARLES CLARK CHEVROLET,OEM GM PARTS - WESLACO,9/1/2023,8/31/2028,"$150,000.00"
0000000000000000000003870,CHCL ENTERPRISES LLC,Brownsville Boat Hanger,12/1/2024,11/30/2029,"$708,000.00"
0000000000000000000002444,"Chrome Heating & Air Conditioning, LLC",Austin/Florence HQ HVAC,8/12/2022,8/31/2027,"$900,000.00"
0000000000000000000003644,"CIMA SOLUTIONS GROUP, LLC",FY24 IBM FS9200 Renewal,4/29/2024,8/31/2027,"$438,079.62"
0000000000000000000005025,"CIMA SOLUTIONS GROUP, LLC",GTI-Annual Subscription,7/1/2025,6/30/2030,"$886,341.00"
0000000000000000000002012,"CIMA SOLUTIONS GROUP, LLC",Mainframe Support,9/1/2021,6/30/2026,"$1,204,747.78"
0000000000000000000004856,"CIMA SOLUTIONS GROUP, LLC",FY26 SOL IBM Passport advantag,9/1/2025,8/31/2026,"$1,503,310.86"
0000000000000000000004196,CIRCLEMAKER CORP,FY 25-26 Kennel Boarding,9/30/2024,10/2/2026,"$220,000.00"
0000000000000000000003010,CITY OF AUSTIN,ICC EMS Services,8/31/2024,8/31/2029,"$1,339,425.15"
0000000000000000000004494,CITY OF CORPUS CHRISTI,Coastal Bend Radio ILC,5/12/2025,8/31/2099,"$306,000.00"
0000000000000000000003802,CITY OF EDINBURG SOUTH TEXAS INTERNATION,Edinburg Airport Hangar Lease,9/1/2024,1/31/2034,"$869,400.00"
0000000000000000000001776,CITY OF EL PASO,ILC TFO Reimbursement,12/15/2021,12/14/2026,"$120,000.00"
0000000000000000000005093,CITY OF EL PASO,ICC TFO Reimbursement,8/19/2025,8/18/2030,"$160,000.00"
405-15-P002338,CITY OF HEARNE,Building Lease City of Hearne,7/21/2014,7/22/2034,"$468,800.00"
0000000000000000000004995,CITY OF MCALLEN,TTIC Contract,9/1/2025,8/31/2027,"$500,000.00"
0000000000000000000003229,CITY OF MCKINNEY,McKinney Hanger Office Lease,8/1/2023,9/30/2026,"$185,038.88"
CLD202203071122,CITY OF PLANO,FY22-FY25 City of Plano ICC,5/17/2022,5/16/2026,"$434,060.90"
0000000000000000000001803,CITY OF TOMBALL,City of Tomball Hangar Lease,9/1/2021,8/31/2026,"$105,600.00"
0000000000000000000004076,CITY OF VERNON,Vernon Office Lease,3/4/2025,3/3/2035,"$104,655.36"
0000000000000000000004613,CLAY COUNTY TREASURER,ICC-Office Space-THP,8/13/2025,8/31/2030,"$154,075.35"
0000000000000000000004380,CLEARVIEW AI INC,Clearview AI 2025-'30,1/31/2025,1/30/2030,"$1,218,516.00"
0000000000000000000003123,CLIFFORD POWER SYSTEMS,Region 1 Generator Maintenance,9/1/2023,8/31/2028,"$450,000.00"
0000000000000000000004127,CLIMATEC LLC,FY24 IOD SOLICT BAS SYS,9/1/2024,8/31/2029,"$1,468,724.58"
4/09/2026,0000000000000000000004648 CMI INC,Intoxilyzer 9000 instruments,5/1/2025,4/30/2026,"$106,859.50"
0000000000000000000005408,CMI INC,CLD - Intoxilyzer 9000,12/23/2025,8/31/2026,"$109,259.50"
0000000000000000000005527,COGNYTE SOFTWARE LP,HQ Cell Tracking Trucks,3/4/2026,8/31/2026,"$4,487,500.00"
0000000000000000000002515,COLLABORATIVE TESTING SERVICES INC,Forensic Proficiency Testing,8/23/2022,8/31/2027,"$660,705.00"
0000000000000000000004878,COLLEGE STATION AUTO PARTS INC,Houston Chevrolet OEM Parts,7/22/2025,8/31/2030,"$999,999.00"
0000000000000000000003484,COMANCHE COUNTY,Establish an ICC with Comanche,11/7/2023,11/6/2033,"$144,000.00"
0000000000000000000003784,"COMMERCIAL VEHICLE LEASING, LLC",Vehicle Leases,3/25/2024,4/18/2027,"$10,000,000.00"
0000000000000000000002040,COMPREHENSIVE COMMUNICATION SERVICES LLC,Mutulink Access & Hardware,9/1/2021,8/31/2026,"$521,647.58"
0000000000000000000004111,COMPUTER PROJECTS OF ILLINOIS INC,TLETS M&S FY24-29,8/30/2024,8/30/2026,"$6,000,000.00"
0000000000000000000005326,COMPUTER TASK GROUP INC,25R0025999-RapidDNA-PM-Andre,11/18/2025,8/31/2026,"$148,512.00"
0000000000000000000005238,"CON10GENCY CONSULTING, LLC",D25 TIIP KIT,10/14/2025,8/31/2026,"$245,967.15"
0000000000000000000005429,"CON10GENCY CONSULTING, LLC",B26 TIIP KITS,1/13/2026,8/31/2026,"$274,433.26"
0000000000000000000005567,CONCAN SERVICES LLC,Concrete Entrance Construction,3/19/2026,8/31/2026,"$158,000.00"
0000000000000000000002972,"CONQUEST CONSULTING, LLC",Mainframe Migration Staff Aug,4/26/2023,5/31/2026,"$693,671.00"
0000000000000000000004996,CONSULTADD INC.,Cherwell Professional Service,10/16/2025,8/31/2027,"$148,500.00"
0000000000000000000005474,CONVERGEONE INC,Verint Upgrade and Migration,2/19/2026,8/31/2026,"$107,197.00"
0000000000000000000004397,CONVERGEONE INC,Verint Subscription Licensing,4/1/2025,3/31/2027,"$231,576.00"
405-12-20559,COOKE COUNTY,Gainesville Bldg Lease 20017,10/1/2003,9/30/2026,"$266,400.00"
0000000000000000000003412,CORNERSTONE ONDEMAND INC,Learning Content Mgmt System,8/31/2023,8/31/2028,"$3,808,640.74"
0000000000000000000005471,CORRIDOR INDUSTRIAL GROUP LLC,New Braunfels Lease,2/26/2026,4/30/2036,"$2,878,998.10"
0000000000000000000004656,"COVENANT K9 DETECTION SERVICES, LLC",Canines Blanket,5/2/2025,5/1/2030,"$200,000.00"
405-13-30267,COWTOWN 2000 LLC,Bldg Lease - Ft. Worth 20298,1/1/2013,9/30/2026,"$23,779,701.47"
0000000000000000000005271,COYA LIFE LLC,THP BIOFEEDBACK SUBSCRIPTIONS,11/14/2025,11/13/2030,"$2,000,000.00"
0000000000000000000005478,CREATIVE ENTERPRISE SOLUTIONS LLC,IT Service Management (ITSM),3/16/2026,3/15/2029,"$9,821,098.50"
0000000000000000000004445,CREATIVE ORGANIZATIONAL DESIGN,Recruit Test Booklets,3/3/2025,2/28/2027,"$150,000.00"
0000000000000000000005242,"CTC Gunworks, LLC",AOD- SIG P365,10/14/2025,8/31/2026,"$105,637.29"
0000000000000000000005378,"CTC Gunworks, LLC",A26 FTU P320 M17,12/10/2025,8/31/2026,"$161,700.00"
0000000000000000000005504,"CTC Gunworks, LLC",B26 FTU M17 P320,2/26/2026,8/31/2026,"$161,700.00"
0000000000000000000005470,"CTC Gunworks, LLC",TMU Gun Mounts DD,2/10/2026,2/10/2027,"$188,271.36"
0000000000000000000005120,"CTC Gunworks, LLC",HQ CS - Pistols and Holsters,8/22/2025,8/31/2026,"$699,456.50"
0000000000000000000005367,CUTTER AVIATION,Statewide Aircraft Maintenance,12/8/2025,8/31/2030,"$500,000.00"
0000000000000000000005340,CYBERONE LLC,SR 3456632 SecureAuth SOL,12/1/2025,11/30/2026,"$351,295.00"
0000000000000000000005145,"DAILEY AND WELLS COMMUNICATIONS, INC.",ISSI Net Connect and Hardware,8/28/2025,8/31/2026,"$122,630.07"
0000000000000000000005535,"DALF ETI, INC.",CVE New District Haenni Scales,3/9/2026,8/31/2026,"$554,276.80"
0000000000000000000003823,DANA SAFETY DBA FLEET SAFETY EQUIPMENT,BALLISTIC GLASS REMOVAL,6/18/2024,6/17/2029,"$3,500,000.00"
0000000000000000000002663,DANA SAFETY DBA FLEET SAFETY EQUIPMENT,Upfitters Tahoe Vehicles,10/19/2022,8/31/2026,"$4,229,100.00"
0000000000000000000004547,DANA SAFETY DBA FLEET SAFETY EQUIPMENT,1122 Ballistic Upfit,5/1/2025,7/31/2027,"$25,000,000.00"
0000000000000000000005479,DANIEL DEFENSE INC,DANIELDEFENSE RIFLES,2/17/2026,8/31/2027,"$925,865.00"
0000000000000000000005141,DATABASE PROJECTS GROUP LLC,CCH/TCIC/UoF - MAINT & SUPPORT,10/16/2025,2/28/2031,"$11,347,560.00"
0000000000000000000002636,DEARBORN GROUP INC,Forensic Link Adapter Kit,9/29/2022,8/31/2026,"$449,950.00"
0000000000000000000004011,DEDRONE HOLDING INC,DeDrone Subscriotion,9/1/2024,8/31/2026,"$584,000.00"
4/09/2026,0000000000000000000001616 DELOITTE CONSULTING LLP,Contract Managment System,6/15/2021,8/31/2028,"$3,961,517.29"
0000000000000000000002822,DELOITTE CONSULTING LLP,ICT SPART-N M&S FY23-FY26,2/1/2023,8/31/2026,"$5,422,021.00"
0000000000000000000003086,DELOITTE CONSULTING LLP,BSOC Drawbridge AI,6/9/2023,6/8/2028,"$6,000,000.00"
0000000000000000000003199,DELOITTE CONSULTING LLP,DL DBITS IT Technology Tickets,8/24/2023,8/31/2027,"$10,000,000.00"
0000000000000000000002906,DELOITTE CONSULTING LLP,BBDMS,5/1/2023,4/30/2028,"$16,924,517.79"
0000000000000000000004658,DELOITTE CONSULTING LLP,Enterprise Licensing Platform,7/14/2025,7/13/2030,"$58,520,000.00"
405-16-P008050,DENTON COUNTY,DPS Bldg Lease - Lewisville,5/19/2017,8/31/2026,"$118,873.00"
0000000000000000000004972,DEVELOPMENT 2000,NEW-TFC LSE 20804 Leander,2/1/2027,1/31/2037,"$13,808,574.00"
0000000000000000000005442,D-FEND SOLUTIONS AD INC,AOD- cUAS Equipment,2/11/2026,2/10/2030,"$2,803,000.00"
0000000000000000000003490,DIGITAL AIRWARE LLC,Aircraft Maint Sol & Parts Ord,12/1/2023,11/30/2028,"$4,986,000.00"
0000000000000000000004826,DLT SOLUTIONS LLC,Appian Licenses,7/1/2025,8/31/2028,"$2,642,193.01"
0000000000000000000004176,DNA LABS INTERNATIONAL,DNA Analysis & Genealogy,10/25/2024,8/31/2027,"$616,667.00"
0000000000000000000002679,"DOC2E-FILE, INC",Case File Scanning,11/16/2022,8/31/2026,"$400,000.00"
0000000000000000000002126,DOCUMENT MANAGEMENT SOLUTIONS,Invoice Tracking System,10/30/2021,8/31/2027,"$1,758,355.31"
0000000000000000000002319,DON HEWLETT CHEVROLET-OLDSMOBILE-BUICK I,Austin/Florence GM OEM Parts,7/28/2022,8/31/2027,"$1,910,000.00"
0000000000000000000004576,"DONALSON CDJR, LLC",Ram 2500 x 30,5/23/2025,8/31/2026,"$2,175,720.00"
0000000000000000000005577,"DONALSON CDJR, LLC",Ram 1500 Tradesman X 50,3/24/2026,8/31/2026,"$2,867,450.00"
0000000000000000000004304,DONALSON-HINER AUTOMOTIVE GROUP INC,Toyota Rav4,12/2/2024,8/31/2026,"$169,776.25"
0000000000000000000005596,DONALSON-HINER AUTOMOTIVE GROUP INC,Toyota Rav4 X 12,3/30/2026,8/31/2026,"$425,604.00"
0000000000000000000005555,DONALSON-HINER AUTOMOTIVE GROUP INC,Toyota 4 Runner,3/18/2026,8/31/2027,"$2,997,288.00"
405-12-20540,DOUBLE H REALTY SERVICES LLC,Building Lease - Plano 20018,2/15/2005,1/31/2030,"$850,288.00"
0000000000000000000002593,DPS ABILENE 2000 LLC,TFC Lease 20729 Abilene,10/7/2022,4/30/2033,"$25,160,371.29"
0000000000000000000001291,DPS ANGLETON 2000 LLC,Angleton DL Location,10/19/2019,11/30/2030,"$6,330,096.19"
405-17-P008959,DPS CARROLLTON 2000 LLC,Carrollton Lease 20547,11/2/2016,8/31/2027,"$68,418,780.14"
405-17-P009116,DPS DALLAS 2000 LLC,Building Lease Dallas 20379,11/1/2015,10/31/2035,"$27,055,698.00"
0000000000000000000001442,DPS DENTON 2000 LLC,Denton Lease DL 303-1-20669,6/1/2021,5/31/2031,"$12,955,048.80"
405-17-P010960,DPS GEORGETOWN 2000 LLC,Georgetown Bldg Lease 20550,1/1/2018,12/31/2027,"$36,562,837.80"
405-17-P015044,DPS GRAND PRAIRIE 2000 LLC,Grand Prairie Bldg Lease 20581,6/1/2018,5/31/2028,"$19,035,495.00"
405-15-P001178,DPS HOUSTON 2000 LLC,Building Lease Houston 20370,6/1/2015,2/29/2036,"$23,631,074.30"
405-17-P010110,DPS KILLEEN 2000 LLC,Killeen Building Lease 20511,12/8/2016,3/31/2027,"$10,547,904.13"
0000000000000000000005239,DPS LEAGUE CITY 2000 LLC,New-TFC Lse 20766-League City,10/1/2025,3/31/2036,"$12,923,149.40"
405-15-P000735,DPS MEGACENTER 2000 LTD,Bldg lease Pflugerville 20288,9/1/2012,8/31/2032,"$16,304,464.00"
405-17-P010111,DPS MIDLAND 2000 LLC,Midland TFC Lease 20549,10/27/2016,7/31/2027,"$11,778,299.41"
405-17-P010112,DPS NEW BRAUNFELS 2000 LLC,New Braunfels TFC Lease 20535,11/1/2016,10/31/2027,"$15,109,634.48"
0000000000000000000003487,DPS PLANO 2000 LLC,TFC Lease 303-3-20721 Plano,5/1/2024,4/30/2034,"$30,354,182.20"
0000000000000000000002719,DPS ROSENBERG 2000 LLC,TFC Lease Rosenberg,8/1/2022,7/31/2033,"$35,339,269.60"
405-17-P010963,DPS SOUTH HOUSTON 2000 LLC,Houston TFC Lease 20540,11/1/2016,4/30/2028,"$55,847,695.48"
0000000000000000000004015,DRAKE LIGHTING INC,Tower Lighting Blanket,7/23/2024,8/31/2029,"$475,000.00"
0000000000000000000005104,DRIVEWYZE LTD,LPRs Riviera Weigh Station,9/1/2025,8/31/2029,"$133,198.05"
0000000000000000000004109,DRIVEWYZE LTD,Queen City Weigh Stn SRIS Sppt,9/1/2024,8/31/2029,"$158,670.00"
0000000000000000000004901,DRIVEWYZE LTD,SRIS SYSTEM COMPONENTS REPAIR,9/1/2025,8/31/2026,"$198,494.00"
4/09/2026,0000000000000000000003201 DRIVEWYZE LTD,Maintenance and Support ALPR'S,9/1/2023,8/31/2028,"$1,107,221.00"
0000000000000000000002586,DRIVEWYZE LTD,Penwell Weigh Sta Facility,1/11/2023,1/11/2027,"$1,329,139.00"
0000000000000000000005070,DRIVEWYZE LTD,Centerville SRIS Upgrade,8/29/2025,8/28/2026,"$1,486,000.00"
0000000000000000000004355,DUVAL COUNTY,Duval County Office Lease,1/16/2025,1/15/2034,"$720,000.00"
0000000000000000000004955,EAGLE VALLEY SOLUTIONS CORP,Janitorial Services Childress,9/1/2025,8/31/2030,"$116,286.84"
0000000000000000000004876,ECTOR COUNTY ISD,Ector County ICC,8/23/2025,8/31/2029,"$484,041.93"
0000000000000000000005228,EKDROMOS INC,TMU Machine Gun Ammo,10/8/2025,8/31/2026,"$109,500.00"
0000000000000000000005210,EL PASO AERO INC,Statewide Aircraft Maintenance,10/2/2025,8/31/2030,"$500,000.00"
0000000000000000000004201,ELECTRONIC RISKS CONSULTANTS INC,FY25 X-Ray & Maint Repair,10/10/2024,12/3/2029,"$139,500.00"
0000000000000000000004957,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE,ArcGIS Software License & Main,9/1/2025,8/31/2026,"$1,650,000.00"
